Produto,Data,Preco
PINHA,2023-03-03,110.0
PINHA,2023-03-01,100.0
PINHA,2023-02-27,100.0
PINHA,2023-02-24,100.0
PINHA,2023-02-15,100.0
PINHA,2023-02-13,90.0
PINHA,2023-02-10,90.0
PINHA,2023-02-08,90.0
PINHA,2023-02-06,80.0
PINHA,2023-02-03,90.0
PINHA,2023-02-01,85.0
PINHA,2023-01-16,140.0
PINHA,2023-01-13,110.0
PINHA,2023-01-11,110.0
PINHA,2023-01-09,100.0
PINHA,2023-01-06,100.0
PINHA,2023-01-04,150.0
PINHA,2022-12-30,160.0
PINHA,2022-12-28,120.0
PINHA,2022-12-23,170.0
PINHA,2022-12-21,140.0
PINHA,2022-12-14,140.0
PINHA,2022-12-07,170.0
PINHA,2022-12-05,140.0
PINHA,2022-12-02,170.0
PINHA,2022-11-25,170.0
PINHA,2022-11-23,140.0
PINHA,2022-11-21,170.0
PINHA,2022-11-18,180.0
PINHA,2022-11-16,130.0
PINHA,2022-11-09,170.0
PINHA,2022-11-07,120.0
PINHA,2022-11-04,120.0
PINHA,2022-10-31,120.0
PINHA,2022-10-26,170.0
PINHA,2022-10-24,120.0
PINHA,2022-10-21,120.0
PINHA,2022-10-19,120.0
PINHA,2022-10-17,120.0
PINHA,2022-10-14,120.0
PINHA,2022-10-10,120.0
PINHA,2022-10-07,160.0
PINHA,2022-10-05,110.0
PINHA,2022-09-16,110.0
PINHA,2022-09-12,110.0
PINHA,2022-09-09,110.0
PINHA,2022-09-05,110.0
PINHA,2022-09-02,110.0
PINHA,2022-08-31,110.0
PINHA,2022-08-29,110.0
PINHA,2022-08-22,120.0
PINHA,2022-08-19,110.0
PINHA,2022-08-17,110.0
PINHA,2022-08-15,110.0
PINHA,2022-08-12,110.0
PINHA,2022-08-10,110.0
PINHA,2022-08-08,110.0
PINHA,2022-08-05,110.0
PINHA,2022-08-03,110.0
PINHA,2022-08-01,110.0
PINHA,2022-07-29,110.0
PINHA,2022-07-20,110.0
PINHA,2022-07-18,110.0
PINHA,2022-07-15,110.0
PINHA,2022-07-13,110.0
